Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys  
--------  -------   --------  -----  ------  ---------  ---------  ---------  ----------
   227	 449.21	    12.72	-1	0     449.21	    0.00    461.93 	 12.72 
   230	 452.03	    12.52	-1	5     452.03	    0.00    464.55 	 12.52 
   236	 461.12	     2.92	0	0     461.93	    0.81    464.85 	  3.73 
   234	 460.63	     4.23	-1	3     460.63	    0.00    464.87 	  4.23 
   235	 460.82	     6.13	-1	4     460.82	    0.00    466.96 	  6.13 
   239	 466.53	     2.10	-1	5     466.53	    0.00    468.63 	  2.10 
   237	 465.89	     4.53	-1	0     465.89	    0.00    470.42 	  4.53 
   240	 466.55	     4.59	0	4     466.96	    0.41    471.54 	  4.99 
   241	 466.97	     3.13	0	5     468.63	    1.67    471.76 	  4.79 
   242	 467.90	     4.71	0	0     470.42	    2.53    475.13 	  7.23 
   244	 475.18	     0.51	-1	0     475.18	    0.00    475.69 	  0.51 
   238	 465.93	    11.59	-1	3     465.93	    0.00    477.52 	 11.59 
   243	 470.43	     6.86	0	4     471.54	    1.11    478.40 	  7.97 
   246	 478.79	     0.91	-1	3     478.79	    0.00    479.70 	  0.91 
   245	 477.50	    10.21	-1	0     477.50	    0.00    487.70 	 10.21 
   228	 449.82	    44.66	-1	2     449.82	    0.00    494.48 	 44.66 
   222	 440.12	    55.39	-1	1     440.12	    0.00    495.51 	 55.39 




All customers served

Number of Tellers: 6
Number of Queues: 1
Max number allowed to wait: 10
Customer arrival rate (per hr): 30.0
Customer service time (ave min): 8.0
Number of customers arrived: 246
Number of customers served: 246
Num. Turned Away: 0
Num. who waited: 75
Average wait: 0.7
Max wait: 7.25
Std. Dev. Wait: 1.46
Ave. Service: 8.07
Ave. Waiter Wait: 2.3
Ave. in System: 8.77

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys  
--------  -------   --------  -----  ------  ---------  ---------  ---------  ----------
   1	   0.65	     7.70	-1	0       0.65	    0.00      8.36 	  7.70 
   2	   1.49	    10.95	-1	1       1.49	    0.00     12.44 	 10.95 
   3	   4.61	     8.79	-1	2       4.61	    0.00     13.39 	  8.79 
   7	  13.06	     2.51	-1	4      13.06	    0.00     15.57 	  2.51 
   5	  10.82	     5.62	-1	0      10.82	    0.00     16.44 	  5.62 
   6	  12.90	     5.21	-1	1      12.90	    0.00     18.11 	  5.21 
   10	  16.06	     3.26	-1	5      16.06	    0.00     19.32 	  3.26 
   4	   7.11	    14.06	-1	3       7.11	    0.00     21.17 	 14.06 
   9	  15.90	     5.44	-1	4      15.90	    0.00     21.34 	  5.44 
   11	  18.20	     5.34	-1	0      18.20	    0.00     23.54 	  5.34 
   14	  20.59	     0.51	0	0      23.54	    2.96     24.06 	  3.47 
   8	  14.64	    12.42	-1	2      14.64	    0.00     27.06 	 12.42 
   13	  19.91	    10.36	-1	5      19.91	    0.00     30.27 	 10.36 
   12	  19.86	    10.74	-1	1      19.86	    0.00     30.60 	 10.74 
   16	  21.83	    13.13	-1	4      21.83	    0.00     34.96 	 13.13 
   15	  21.77	    16.89	-1	3      21.77	    0.00     38.66 	 16.89 
   18	  23.98	     8.47	1	1      30.60	    6.62     39.06 	 15.09 
   20	  27.31	    13.22	-1	2      27.31	    0.00     40.53 	 13.22 
   24	  35.37	     6.72	-1	4      35.37	    0.00     42.09 	  6.72 
   25	  36.52	     4.41	3	3      38.66	    2.14     43.07 	  6.55 
   27	  38.67	     0.71	3	3      43.07	    4.41     43.79 	  5.12 
   23	  34.92	     5.11	1	1      39.06	    4.14     44.17 	  9.25 
   26	  37.25	     4.49	4	4      42.09	    4.84     46.58 	  9.33 
   17	  23.93	    23.92	0	0      24.06	    0.12     47.98 	 24.05 
   22	  32.66	    16.43	-1	5      32.66	    0.00     49.09 	 16.43 
   28	  42.37	     7.55	1	1      44.17	    1.80     51.72 	  9.35 
   30	  47.09	     5.01	-1	4      47.09	    0.00     52.11 	  5.01 
